input_line,query_name,query_birth,query_death,query_state,chosen_memorial_url,chosen_memorial_id,parsed_name,parsed_birth,parsed_death,parsed_place,parsed_bio_snippet,match_score
102nd United States Colored Troops (U.S.C.T.) Memorial Highway,102nd United States Colored Troops (USCT) Memorial Highway,,,,,,,,,,,0.000
Clare County Veterans Memorial Highway,Clare County Veterans Memorial Highway,,,,https://www.findagrave.com/memorial/18302758/lueen-rees,18302758,Lueen Leavitt Rees (1927-2007) - Find a Grave...,19,20,Cemetery Memorial Photos 3 Flowers 443 Photo added by Collins Crapo Add Photos Request Photo Adding photos to this memorial is not allowed,,0.300
10th Mountain Division Highway,10th Mountain Division Highway,,,,,,,,,,,0.000
Joseph Prentler Memorial Highway,Joseph Prentler Memorial Highway,,,,,,,,,,,0.000
AMVETS Memorial Scenic Drive,AMVETS Memorial Scenic Drive,,,,,,Driver A A Driver (unknown-1956) - Find a Grave...,19,,"Burial Cheras Road Commonwealth War Graves Cemetery Kuala Lumpur , Kuala Lumpur , Federal Territory of Kuala Lumpur , Malaysia Add to Map Memorial ID 198766332 198766332",,0.204
Rosa Parks Memorial Highway,Rosa Parks Memorial Highway,,,,,,,,,,,0.000
Officer Trevor Slot Memorial Highway,Trevor Slot Memorial Highway,,,,,,,,,,,0.000
Trooper Rick L. Johnson Memorial Freeway,Rick L Johnson Memorial Freeway,,,,,,,,,,,0.000
Mark V. Ingram II Freeway,Mark V Ingram II Freeway,,,,,,,,,,,0.000
Medal of Honor Recipients Highway,Medal of Honor Recipients Highway,,,,,,,,,,,0.000
William Davidson Memorial Highway,William Davidson Memorial Highway,,,,https://www.findagrave.com/memorial/246985730/william-highway,246985730,William Highway (1773-1835) - Find a Grave...,18,,"Buried at Bath Street Burial Grounds, Walsall, Metropolitan Borough of Walsall, West Midlands, England, Europe William Highway",,0.279
George Edward (Ted) Seman Memorial Highway,George Edward (Ted) Seman Memorial Highway,,,,,,,,,,,0.000
"""Hazen Shirley 'Kiki"""" Cuyler Memorial Highway""","""Hazen Shirley 'Kiki"""" Cuyler Memorial Highway""",,,,,,,,,,,0.000
Violet T. Lewis Memorial Highway,Violet T Lewis Memorial Highway,,,,,,,,,,,0.000
PFC Nicholas H. Blodgett Memorial Highway,PFC Nicholas H Blodgett Memorial Highway,,,,,,,,,,,0.000
CPL Ross A. Smith Memorial Highway,Ross A Smith Memorial Highway,,,,,,,,,,,0.000
Deputy Eric Overall Memorial Highway,Deputy Eric Overall Memorial Highway,,,,,,,,,,,0.000
Gunnery Sgt. Daniel Price Memorial Highway,Gunnery Sgt Daniel Price Memorial Highway,,,,,,,,,,,0.000
Trooper Craig A. Scott Memorial Highway,Craig A Scott Memorial Highway,,,,,,,,,,,0.000
Det. Sgt. Christopher M. Wouters Memorial Highway,Det Sgt Christopher M Wouters Memorial Highway,,,,,,,,,,,0.000
Chief Petty Officer Jason Freiwald Memorial Highway,Petty Officer Jason Freiwald Memorial Highway,,,,,,,,,,,0.000
Staff Sergeant Duane J. Dreasky Memorial Highway,Duane J Dreasky Memorial Highway,,,,,,,,,,,0.000
Trooper Craig A. Scott Memorial Highway,Craig A Scott Memorial Highway,,,,,,,,,,,0.000
Michigan State Trooper Timothy O'Neill Memorial Highway,Michigan State Trooper Timothy O'Neill Memorial Highway,,,,,,,,,,,0.000
PFC Alan Robert Blohm Memorial Hwy,PFC Alan Robert Blohm Memorial Hwy,,,,,,,,,,,0.000
Corrections Officers Jack Budd and Josephine McCallum Memorial Highway,Corrections Officers Jack Budd and Josephine McCallum Memorial Highway,,,,,,,,,,,0.000
Sergeant Collin Rose Memorial Highway,Collin Rose Memorial Highway,,,,,,,,,,,0.000
Purple Heart Trail,Purple Heart Trail,,,,,,,,,,,0.000
Marine Sergeant Michael P. Hodshire Memorial Highway,Sergeant Michael P Hodshire Memorial Highway,,,,,,,,,,,0.000
"""""""Sgt. Craig S. Frank Memorial Highway.""""""","""""""Sgt Craig S Frank Memorial Highway""""""",,,,,,,,,,,0.000
Trooper Byron J Erickson Memorial Highway,Byron J Erickson Memorial Highway,,,,,,,,,,,0.000
PFC Brett Witteveen Memorial Highway,PFC Brett Witteveen Memorial Highway,,,,,,,,,,,0.000
Marine Lance Corporal Steven J Szymanski Memorial Highway,Lance Corporal Steven J Szymanski Memorial Highway,,,,,,,,,,,0.000
Cpl Casey P Zylman Memorial Highway,Casey P Zylman Memorial Highway,,,,,,,,,,,0.000
Deputy Gate Keeper George W Haight Memorial Highway,Deputy Gate Keeper George W Haight Memorial Highway,,,,,,,,,,,0.000
SPC Holly McGeogh Memorial Highway,Holly McGeogh Memorial Highway,,,,,,,,,,,0.000
Ensign Francis Flaherty Medal of Honor Recipient Memorial Highway,Francis Flaherty Medal of Honor Recipient Memorial Highway,,,,,,Pvt F J Highway (unknown-1918) - Find a Grave...,19,,"Buried at Chocques Military Cemetery, Chocques, D",,0.146
Sergeant Matthew R Soper Memorial Highway Memorial Highway,Matthew R Soper Memorial Highway Memorial Highway,,,,,,,,,,,0.000
Lance Corporal Justin Ellsworth Memorial Highway,Lance Corporal Justin Ellsworth Memorial Highway,,,,,,,,,,,0.000
Staff Sergeant Eugene H. E. Alex Memorial Highway,Eugene H E Alex Memorial Highway,,,,,,,,,,,0.000
Aretha L Franklin Memorial Highway,Aretha L Franklin Memorial Highway,,,,,,,,,,,0.000
Trooper Rodger M Adams Memorial Highway,Rodger M Adams Memorial Highway,,,,,,,,,,,0.000
Michigan Desert Storm Veterans Memorial Highway,Michigan Desert Storm Veterans Memorial Highway,,,,,,,,,,,0.000
Deputy Ernest W. Heikkila Memorial Highway,Deputy Ernest W Heikkila Memorial Highway,,,,,,,,,,,0.000
Patrolman Bobby Lynn Williams Memorial Highway,Patrolman Bobby Lynn Williams Memorial Highway,,,,,,,,,,,0.000
Sergeant Kristopher J. Gould Memorial Bridge,Kristopher J Gould Memorial Bridge,,,,,,,,,,,0.000
"""""""Trooper James R. DeLoach and Trooper Steven J. Niewiek Memorial Highway""""""","""""""Trooper James R DeLoach and Trooper Steven J Niewiek Memorial Highway""""""",,,,,,,,,,,0.000
"""""""Army Specialist Deangelo Snow Memorial Highway""""""","""""""Army Specialist Deangelo Snow Memorial Highway""""""",,,,,,,,,,,0.000
"""""""Officer Jessica Nagle-Wilson Memorial Highway"""".""","""""""Officer Jessica Nagle-Wilson Memorial Highway""""""",,,,,,,,,,,0.000
"""""""Sergeant Ryan J. Proxmire Memorial Highway.""""""","""""""Sergeant Ryan J Proxmire Memorial Highway""""""",,,,,,,,,,,0.000
Trooper Caleb Starr Memorial Highway,Caleb Starr Memorial Highway,,,,,,,,,,,0.000
Kevin D. White Memorial Highway,Kevin D White Memorial Highway,,,,,,,,,,,0.000
Firefighter Coleman A. Tate Memorial Highway,Firefighter Coleman A Tate Memorial Highway,,,,,,,,,,,0.000
Veterans' Memorial Highway,Veterans' Memorial Highway,,,,,,,,,,,0.000
Senator Tom Casperson Memorial Bridge,Senator Tom Casperson Memorial Bridge,,,,,,,,,,,0.000
Julie Plawecki Memorial Highway,Julie Plawecki Memorial Highway,,,,,,,,,,,0.000
Army Sergeant First Class Michael Cathcart Memorial Highway,Army Sergeant First Class Michael Cathcart Memorial Highway,,,,,,,,,,,0.000
Bataan and Corregidor Veterans Memorial Highway,Bataan and Corregidor Veterans Memorial Highway,,,,,,,,,,,0.000
BEN LAUREN AND DON RILING MEMORIAL HIGHWAY,BEN LAUREN AND DON RILING MEMORIAL HIGHWAY,,,,,,,,,,,0.000
Darryl M. Rantanen Memorial Highway,Darryl M Rantanen Memorial Highway,,,,,,,,,,,0.000
Officer Mason Samborski Memorial Highway,Mason Samborski Memorial Highway,,,,,,,,,,,0.000
Officer Scott Flahive Memorial Highway,Scott Flahive Memorial Highway,,,,,,,,,,,0.000
PFC Kenneth Coates Memorial Interchange,PFC Kenneth Coates Memorial Interchange,,,,,,,,,,,0.000
Trooper Manuel H. Fields Memorial Highway,Manuel H Fields Memorial Highway,,,,,,,,,,,0.000
Samuel R. Costello Memorial Highway,Samuel R Costello Memorial Highway,,,,,,,,,,,0.000
"""""""Peter A. Pettalia Memorial Highway""""""","""""""Peter A Pettalia Memorial Highway""""""",,,,,,,,,,,0.000
"""""""Peter C. Lemon Highway""""""","""""""Peter C Lemon Highway""""""",,,,,,,,,,,0.000
UAW Sitdown Strike Memorial Highway,UAW Sitdown Strike Memorial Highway,,,,,,,,,,,0.000
Disabled American Veterans Memorial Highway,Disabled American Veterans Memorial Highway,,,,,,,,,,,0.000
Disabled American Veterans Highway,Disabled American Veterans Highway,,,,,,,,,,,0.000
Barry Lyn Hause Memorial Highway,Barry Lyn Hause Memorial Highway,,,,,,,,,,,0.000
Captain Joseph M. Liedel Memorial Highway,Joseph M Liedel Memorial Highway,,,,,,,,,,,0.000
Officer Leroy Imus Memorial Highway,Leroy Imus Memorial Highway,,,,,,,,,,,0.000
PFC Ronald James Fitch Memorial Highway,PFC Ronald James Fitch Memorial Highway,,,,,,,,,,,0.000
Private Wesley Vietti Karna Memorial Highway,Wesley Vietti Karna Memorial Highway,,,,,,,,,,,0.000
Senior Chief Petty Officer Jason P. May Memorial Highway,Senior Chief Petty Officer Jason P May Memorial Highway,,,,,,,,,,,0.000
